term1,term2,foodon,snomedct_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:155046006,10,0,cause
apple,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
banana,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
banana,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:257550005,9,0,cause
banana,pancreatitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
banana,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:70076002,11,0,cause
banana,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:267817001,11,0,cause
barley,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,12,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,77,0,cause
barley,anaemia,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:64593003,11,0,cause
barley,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,7,0,cause
barley,coeliac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:238538009,18,0,cause
barley,osteoporosis,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
beer,Korsakoff's psychosis,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:69482004,4,0,cause
beer,Wernicke's encephalopathy,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:190627001,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:69482004,3,0,cause
beer,lactic acidosis,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:91273001,4,0,cause
beer,urticaria,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
calcium,pericardial effusion,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:70370001,3,0,cause
candy,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
carrot,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
celery,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_117781,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:155046006,12,0,cause
chicken,obesity,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,SNOMEDCT_US_2020_09_01:5476005,2,0,cause
chocolate,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
chocolate,Pertussis,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:26484003,2,0,cause
chocolate,acne,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:11381005,10,0,cause
chocolate,atrial fibrillation,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:266306001,3,0,cause
chocolate,hyperglycemia,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:144187006,4,0,cause
chocolate,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:155046006,8,0,cause
chocolate,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:5476005,9,0,cause
cinnamon,dermatitis,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
cinnamon,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
cinnamon,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
coffee,acne,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
corn,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_381124,SNOMEDCT_US_2020_09_01:70076002,3,0,cause
drinking beer,angioedema,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:41291007,5,0,cause
drinking beer,urticaria,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:267817001,5,0,cause
eggs,acne,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:38103000,4,0,cause
flour,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:187687003,26,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:155581001,3,0,cause
flour,rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:70076002,6,0,cause
flour dust,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
flour mill,bronchitis,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:155566007,6,0,cause
food rich,diarrhoea,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:154268000,3,0,cause
fruit,gastroesophageal reflux,http://purl.obolibrary.org/obo/PO_0009001,SNOMEDCT_US_2020_09_01:235595009,3,0,cause
fruit,hypersensitivity,http://purl.obolibrary.org/obo/PO_0009001,SNOMEDCT_US_2020_09_01:257550005,13,0,cause
fruit,uremia,http://purl.obolibrary.org/obo/PO_0009001,SNOMEDCT_US_2020_09_01:44730006,2,0,cause
fruits,allergic conjunctivitis,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:231854006,3,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4682,SNOMEDCT_US_2020_09_01:187687003,19,0,cause
garlic,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4682,SNOMEDCT_US_2020_09_01:238538009,6,0,cause
garlic,hemolytic anemia,http://purl.obolibrary.org/obo/NCBITaxon_4682,SNOMEDCT_US_2020_09_01:61261009,5,0,cause
garlic,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
garlic,rhinitis,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:70076002,6,0,cause
garlic,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_4682,SNOMEDCT_US_2020_09_01:70076002,12,0,cause
harmful effects,hypertension,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:38341003,2,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_4682,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
lamb,asthma,http://purl.obolibrary.org/obo/FOODON_03411669,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
lemon,endophthalmitis,http://purl.obolibrary.org/obo/FOODON_03301441,SNOMEDCT_US_2020_09_01:1847009,3,0,cause
lemon,urticaria,http://purl.obolibrary.org/obo/FOODON_03301441,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
liquid,dental caries,http://purl.obolibrary.org/obo/FOODON_03412974,SNOMEDCT_US_2020_09_01:155632007,3,0,cause
liver,Colorectal cancer,http://purl.obolibrary.org/obo/UBERON_0002107,SNOMEDCT_US_2020_09_01:93854002,5,0,cause
liver,Gaucher disease,http://purl.obolibrary.org/obo/UBERON_0002107,SNOMEDCT_US_2020_09_01:190794006,2,0,cause
liver,Obesity,http://purl.obolibrary.org/obo/UBERON_0002107,SNOMEDCT_US_2020_09_01:5476005,2,0,cause
liver,Schistosomiasis,http://purl.obolibrary.org/obo/UBERON_0002107,SNOMEDCT_US_2020_09_01:187116001,3,0,cause
liver,Wilson disease,http://purl.obolibrary.org/obo/UBERON_0002107,SNOMEDCT_US_2020_09_01:88518009,3,0,cause
liver,fatty liver syndrome,http://purl.obolibrary.org/obo/UBERON_0002107,SNOMEDCT_US_2020_09_01:50325005,2,0,cause
liver,portal hypertension,http://purl.obolibrary.org/obo/UBERON_0002107,SNOMEDCT_US_2020_09_01:155821005,2,0,cause
milk,Asthma,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
milk,Breast carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:154513000,10,0,cause
milk,Campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:86500004,4,0,cause
milk,Eosinophilic esophagitis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:235599003,7,0,cause
milk,Hydatidosis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:154414008,2,0,cause
milk,Mastitis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:155952005,7,0,cause
milk,Rift Valley fever,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:7077006,2,0,cause
milk,Tick-borne encephalitis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:16901001,4,0,cause
milk,acne,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:11381005,2,0,cause
milk,amenorrhea,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:156034000,5,0,cause
milk,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:86500004,2,0,cause
milk,coronary heart disease,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:53741008,5,0,cause
milk,diabetic ketoacidosis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:154671004,4,0,cause
milk,diarrhea,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:154268000,5,0,cause
milk,eczema,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:238538009,2,0,cause
milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:20165001,2,0,cause
milk,hyperprolactinemia,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:190468001,2,0,cause
milk,invasive ductal carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:408643008,3,0,cause
milk,myocarditis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:50920009,2,0,cause
milk,ovarian cancer,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:123843001,3,0,cause
milk,pancreatitis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:393591004,8,0,cause
milk,urticaria,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:267817001,2,0,cause
milk products,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:86500004,3,0,cause
mustard,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
oats,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,SNOMEDCT_US_2020_09_01:197477005,15,0,cause
oats,dermatitis,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,SNOMEDCT_US_2020_09_01:238538009,11,0,cause
onion,asthma,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,SNOMEDCT_US_2020_09_01:187687003,5,0,cause
peach,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_3760***http://purl.obolibrary.org/obo/FOODON_03315502***http://purl.obolibrary.org/obo/FOODON_03301719,SNOMEDCT_US_2020_09_01:267817001,12,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
rabbit,atopic dermatitis,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,SNOMEDCT_US_2020_09_01:156331003,3,0,cause
red wine,breast cancer,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:254837009,3,0,cause
red wine,diarrhea,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:154268000,8,0,cause
red wine,diarrhoea,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:154268000,5,0,cause
red wine,irritable bowel syndrome,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:155783000,4,0,cause
red wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:155046006,4,0,cause
rice,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4530,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
rice,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_4530,SNOMEDCT_US_2020_09_01:267817001,6,0,cause
rye,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:38103000,8,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,SNOMEDCT_US_2020_09_01:267467004,4,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,SNOMEDCT_US_2020_09_01:267467004,3,0,cause
salt,gastric cancer,http://purl.obolibrary.org/obo/CHEBI_24866,SNOMEDCT_US_2020_09_01:126824007,2,0,cause
salt,obesity,http://purl.obolibrary.org/obo/CHEBI_24866,SNOMEDCT_US_2020_09_01:5476005,2,0,cause
soy milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:20165001,2,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,SNOMEDCT_US_2020_09_01:267467004,3,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,SNOMEDCT_US_2020_09_01:267467004,5,0,cause
sugar,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:5476005,4,0,cause
thyme,asthma,http://purl.obolibrary.org/obo/NCBITaxon_49992,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
trigger,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
turkey,Gastric cancer,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,SNOMEDCT_US_2020_09_01:126824007,7,0,cause
turkey,Hypertension,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,SNOMEDCT_US_2020_09_01:38341003,7,0,cause
unpasteurized animal milk,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:86500004,3,0,cause
vegetable oil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03305263***http://purl.obolibrary.org/obo/FOODON_03310387,SNOMEDCT_US_2020_09_01:266391003,2,0,cause
wasabi,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/ENVO_00002006,SNOMEDCT_US_2020_09_01:86500004,2,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:86500004,3,0,cause
water,gastroenteritis,http://purl.obolibrary.org/obo/ENVO_00002006,SNOMEDCT_US_2020_09_01:154278002,2,0,cause
water,lymphadenitis,http://purl.obolibrary.org/obo/ENVO_00002006,SNOMEDCT_US_2020_09_01:19471005,2,0,cause
water,nephrosis,http://purl.obolibrary.org/obo/ENVO_00002006,SNOMEDCT_US_2020_09_01:90708001,2,0,cause
water,tuberculosis,http://purl.obolibrary.org/obo/ENVO_00002006,SNOMEDCT_US_2020_09_01:15202009,3,0,cause
wheat,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
white bread,diabetes,http://purl.obolibrary.org/obo/FOODON_03301055,SNOMEDCT_US_2020_09_01:267467004,4,0,cause
white wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310273,SNOMEDCT_US_2020_09_01:155046006,4,0,cause
wood,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
