term1,term2,foodon,umls_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0149931,10,0,cause
apple,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,UMLS_CUI:C0011603,4,0,cause
banana,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,UMLS_CUI:C0004096,6,0,cause
banana,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,UMLS_CUI:C0020517,9,0,cause
banana,pancreatitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,UMLS_CUI:C0030305,3,0,cause
banana,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,UMLS_CUI:C0035455,11,0,cause
banana,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,UMLS_CUI:C0029839,11,0,cause
barley,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,12,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,UMLS_CUI:C0007570,6,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,77,0,cause
barley,anaemia,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0002871,11,0,cause
barley,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0004096,2,0,cause
barley,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0004096,2,0,cause
barley,autoimmune disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0003089,2,0,cause
barley,autoimmune disorder,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0003089,20,0,cause
barley,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,7,0,cause
barley,coeliac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,6,0,cause
barley,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0011603,18,0,cause
barley,osteoporosis,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0029456,11,0,cause
beer,Korsakoff's psychosis,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0349464,4,0,cause
beer,Wernicke's encephalopathy,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0043121,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0349464,3,0,cause
beer,lactic acidosis,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0001125,4,0,cause
beer,urticaria,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0029839,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0039446,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,UMLS_CUI:C0039446,3,0,cause
calcium,pericardial effusion,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0031039,3,0,cause
candy,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,UMLS_CUI:C0038362,6,0,cause
carrot,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,UMLS_CUI:C0011603,4,0,cause
celery,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_117781,UMLS_CUI:C0029839,3,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0149931,2,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0149931,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0149931,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0149931,12,0,cause
chicken,obesity,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,UMLS_CUI:C0028754,2,0,cause
chocolate,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0149931,2,0,cause
chocolate,Pertussis,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0006015,2,0,cause
chocolate,acne,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0152249,10,0,cause
chocolate,atrial fibrillation,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0004238,3,0,cause
chocolate,hyperglycemia,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0020456,4,0,cause
chocolate,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0149931,8,0,cause
chocolate,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0028754,9,0,cause
cinnamon,dermatitis,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0011603,3,0,cause
cinnamon,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0020517,10,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0038362,6,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,UMLS_CUI:C0038362,6,0,cause
cinnamon,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,UMLS_CUI:C0039446,3,0,cause
coffee,acne,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0152249,8,0,cause
corn,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_381124,UMLS_CUI:C0035455,3,0,cause
drinking beer,angioedema,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0002994,5,0,cause
drinking beer,urticaria,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0029839,5,0,cause
eggs,acne,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0152249,8,0,cause
flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0002103,4,0,cause
flour,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0004096,26,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0004096,2,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,UMLS_CUI:C0004096,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0002390,3,0,cause
flour,rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0035455,6,0,cause
flour dust,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,UMLS_CUI:C0004096,2,0,cause
flour mill,bronchitis,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0149514,6,0,cause
food rich,diarrhoea,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0013369,3,0,cause
fruit,gastroesophageal reflux,http://purl.obolibrary.org/obo/PO_0009001,UMLS_CUI:C0017168,3,0,cause
fruit,hypersensitivity,http://purl.obolibrary.org/obo/PO_0009001,UMLS_CUI:C0020517,13,0,cause
fruit,uremia,http://purl.obolibrary.org/obo/PO_0009001,UMLS_CUI:C0041948,2,0,cause
fruits,allergic conjunctivitis,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0009766,3,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0004096,6,0,cause
garlic,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4682,UMLS_CUI:C0004096,19,0,cause
garlic,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4682,UMLS_CUI:C0011603,6,0,cause
garlic,hemolytic anemia,http://purl.obolibrary.org/obo/NCBITaxon_4682,UMLS_CUI:C0002878,5,0,cause
garlic,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0020517,10,0,cause
garlic,rhinitis,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0035455,6,0,cause
garlic,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_4682,UMLS_CUI:C0035455,12,0,cause
harmful effects,hypertension,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0020538,2,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0020517,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,UMLS_CUI:C0020517,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,UMLS_CUI:C0020517,10,0,cause
horseradish,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_4682,UMLS_CUI:C0020517,10,0,cause
lamb,asthma,http://purl.obolibrary.org/obo/FOODON_03411669,UMLS_CUI:C0004096,2,0,cause
lemon,endophthalmitis,http://purl.obolibrary.org/obo/FOODON_03301441,UMLS_CUI:C0014236,3,0,cause
lemon,urticaria,http://purl.obolibrary.org/obo/FOODON_03301441,UMLS_CUI:C0029839,3,0,cause
liquid,dental caries,http://purl.obolibrary.org/obo/FOODON_03412974,UMLS_CUI:C1456145,3,0,cause
liver,Colorectal cancer,http://purl.obolibrary.org/obo/UBERON_0002107,UMLS_CUI:C0346629,5,0,cause
liver,Gaucher disease,http://purl.obolibrary.org/obo/UBERON_0002107,UMLS_CUI:C0017205,2,0,cause
liver,Obesity,http://purl.obolibrary.org/obo/UBERON_0002107,UMLS_CUI:C0028754,2,0,cause
liver,Schistosomiasis,http://purl.obolibrary.org/obo/UBERON_0002107,UMLS_CUI:C0029827,3,0,cause
liver,Wilson disease,http://purl.obolibrary.org/obo/UBERON_0002107,UMLS_CUI:C0019202,3,0,cause
liver,fatty liver syndrome,http://purl.obolibrary.org/obo/UBERON_0002107,UMLS_CUI:C0015695,2,0,cause
liver,portal hypertension,http://purl.obolibrary.org/obo/UBERON_0002107,UMLS_CUI:C0020541,2,0,cause
milk,Asthma,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0004096,3,0,cause
milk,Breast carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0678222,10,0,cause
milk,Campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,4,0,cause
milk,Eosinophilic esophagitis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0341106,7,0,cause
milk,Hydatidosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0013502,2,0,cause
milk,Mastitis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0024894,7,0,cause
milk,Rift Valley fever,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0035613,2,0,cause
milk,Tick-borne encephalitis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0014054,4,0,cause
milk,acne,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0152249,2,0,cause
milk,amenorrhea,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0002453,5,0,cause
milk,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,2,0,cause
milk,coronary heart disease,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0151744,5,0,cause
milk,diabetic ketoacidosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0011880,4,0,cause
milk,diarrhea,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0013369,5,0,cause
milk,eczema,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0011603,2,0,cause
milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0085681,2,0,cause
milk,hyperprolactinemia,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0008043,2,0,cause
milk,infectious disease,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0001485,4,0,cause
milk,invasive ductal carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C1527349,3,0,cause
milk,myocarditis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0027059,2,0,cause
milk,ovarian cancer,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C1299247,3,0,cause
milk,ovarian carcinoma,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0677886,5,0,cause
milk,pancreatitis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0030305,8,0,cause
milk,urticaria,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0029839,2,0,cause
milk products,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,3,0,cause
mustard,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0020517,10,0,cause
oats,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,UMLS_CUI:C0007570,15,0,cause
oats,dermatitis,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,UMLS_CUI:C0011603,11,0,cause
onion,asthma,http://purl.obolibrary.org/obo/FOODON_03316347***http://purl.obolibrary.org/obo/NCBITaxon_4679,UMLS_CUI:C0004096,5,0,cause
peach,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_3760***http://purl.obolibrary.org/obo/FOODON_03315502***http://purl.obolibrary.org/obo/FOODON_03301719,UMLS_CUI:C0029839,12,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,UMLS_CUI:C0011603,4,0,cause
potato,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,UMLS_CUI:C0011603,4,0,cause
rabbit,atopic dermatitis,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,UMLS_CUI:C0011615,3,0,cause
red wine,breast cancer,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0006142,3,0,cause
red wine,diarrhea,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0013369,8,0,cause
red wine,diarrhoea,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0013369,5,0,cause
red wine,irritable bowel syndrome,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0022104,4,0,cause
red wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0149931,4,0,cause
rice,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4530,UMLS_CUI:C0004096,6,0,cause
rice,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_4530,UMLS_CUI:C0029839,6,0,cause
rye,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,6,0,cause
rye,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,UMLS_CUI:C0007570,6,0,cause
rye flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,UMLS_CUI:C0002103,8,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0011849,4,0,cause
salt,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,UMLS_CUI:C0011849,3,0,cause
salt,gastric cancer,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0024623,2,0,cause
salt,obesity,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0028754,2,0,cause
soy milk,hyperphosphatemia,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0085681,2,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/CHEBI_24866,UMLS_CUI:C0011849,3,0,cause
sugar,diabetes,http://purl.obolibrary.org/obo/FOODON_03420108,UMLS_CUI:C0011849,5,0,cause
sugar,dyslipidemia,http://purl.obolibrary.org/obo/FOODON_03420108,UMLS_CUI:C0023772,3,0,cause
sugar,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0028754,4,0,cause
thyme,asthma,http://purl.obolibrary.org/obo/NCBITaxon_49992,UMLS_CUI:C0004096,3,0,cause
trigger,asthma,http://purl.obolibrary.org/obo/CHEBI_33290,UMLS_CUI:C0004096,2,0,cause
turkey,Gastric cancer,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,UMLS_CUI:C0024623,7,0,cause
turkey,Hypertension,http://purl.obolibrary.org/obo/GAZ_00000558***http://purl.obolibrary.org/obo/NCBITaxon_9103,UMLS_CUI:C0020538,7,0,cause
unpasteurized animal milk,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,3,0,cause
vegetable oil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03305263***http://purl.obolibrary.org/obo/FOODON_03310387,UMLS_CUI:C0032285,2,0,cause
wasabi,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03316284,UMLS_CUI:C0020517,10,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0006818,2,0,cause
water,campylobacteriosis,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0006818,3,0,cause
water,gastroenteritis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0017160,2,0,cause
water,lymphadenitis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0024205,2,0,cause
water,nephrosis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0027720,2,0,cause
water,tuberculosis,http://purl.obolibrary.org/obo/ENVO_00002006,UMLS_CUI:C0041295,3,0,cause
wheat,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,UMLS_CUI:C0007570,6,0,cause
white bread,diabetes,http://purl.obolibrary.org/obo/FOODON_03301055,UMLS_CUI:C0011849,4,0,cause
white wine,migraine,http://purl.obolibrary.org/obo/FOODON_03310273,UMLS_CUI:C0149931,4,0,cause
wood,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,UMLS_CUI:C0004096,2,0,cause
