term1,term2,snomedct,nci_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C89715,10,0,cause
apple,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,NCI:C2983,4,0,cause
banana,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C28397,6,0,cause
banana,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C3114,9,0,cause
banana,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C3306,3,0,cause
banana,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C34986,11,0,cause
barley,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,12,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,77,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C26714,6,0,cause
barley,anaemia,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C2869,11,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C28397,2,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C28397,2,0,cause
barley,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,7,0,cause
barley,coeliac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,6,0,cause
barley,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C2983,18,0,cause
barley,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C3298,11,0,cause
beer,Korsakoff's psychosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C35764,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C35764,3,0,cause
beer,lactic acidosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C98969,4,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C28194,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,NCI:C28194,3,0,cause
cake prepared,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/226639005,NCI:C3114,5,0,cause
calcium,pericardial effusion,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3319,3,0,cause
candy,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,NCI:C26887,6,0,cause
carrot,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,NCI:C2983,4,0,cause
cereal,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C28397,4,0,cause
cereal,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C2983,4,0,cause
cereal,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C2983,4,0,cause
cereal flour,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C28397,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C89715,2,0,cause
cheese,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C3117,3,0,cause
cheese,insulin-dependent diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C2986,2,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,12,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C89715,6,0,cause
chicken,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226955001,NCI:C159658,2,0,cause
chocolate,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,2,0,cause
chocolate,atrial fibrillation,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C50466,3,0,cause
chocolate,hyperglycemia,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C26797,4,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,8,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C89715,7,0,cause
chocolate,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C159658,9,0,cause
chocolate milk,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002***http://purl.bioontology.org/ontology/SNOMEDCT/46329000***http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C2985,2,0,cause
cinnamon,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C2983,3,0,cause
cinnamon,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C3114,10,0,cause
cinnamon,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,NCI:C26887,6,0,cause
cinnamon,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,NCI:C28194,3,0,cause
corn,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,NCI:C34986,3,0,cause
drinking beer,angioedema,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C112175,5,0,cause
flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C34987,4,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C28397,2,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C28397,26,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C28397,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C34369,3,0,cause
flour,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C34986,6,0,cause
flour mill,bronchitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C26722,6,0,cause
"flour,",asthma,http://purl.bioontology.org/ontology/SNOMEDCT/229944000***http://purl.bioontology.org/ontology/SNOMEDCT/63766005***http://purl.bioontology.org/ontology/SNOMEDCT/412071004,NCI:C28397,4,0,cause
fruit,gastroesophageal reflux,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C26781,3,0,cause
fruit,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/72511004,NCI:C3114,13,0,cause
garlic,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C28397,19,0,cause
garlic,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C2983,6,0,cause
garlic,hemolytic anemia,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C34376,5,0,cause
garlic,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C3114,10,0,cause
garlic,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C34986,12,0,cause
harmful effects,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C3117,2,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C3114,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,NCI:C3114,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C3114,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,NCI:C3114,10,0,cause
horseradish,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,NCI:C3114,10,0,cause
lamb,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/226942002,NCI:C28397,2,0,cause
lemon,endophthalmitis,http://purl.bioontology.org/ontology/SNOMEDCT/735340006,NCI:C34586,3,0,cause
meat,Multiple Sclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,NCI:C3243,3,0,cause
meat,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,NCI:C4978,3,0,cause
meat,gout,http://purl.bioontology.org/ontology/SNOMEDCT/28647000,NCI:C34650,2,0,cause
milk,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C28397,3,0,cause
milk,Breast carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C4872,10,0,cause
milk,Eosinophilic esophagitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C27105,7,0,cause
milk,Hydatidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C84682,2,0,cause
milk,Mastitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C53662,7,0,cause
milk,Rift Valley fever,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C128419,2,0,cause
milk,amenorrhea,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C61443,5,0,cause
milk,coronary heart disease,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C50625,5,0,cause
milk,diabetic ketoacidosis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C50530,4,0,cause
milk,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C2983,2,0,cause
milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C113750,2,0,cause
milk,invasive ductal carcinoma,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C4017,3,0,cause
milk,myocarditis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C34831,2,0,cause
milk,ovarian cancer,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C7431,3,0,cause
milk,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3306,8,0,cause
mustard,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C3114,10,0,cause
mustard,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/51905005,NCI:C3306,3,0,cause
oats,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C26714,15,0,cause
oats,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C2983,11,0,cause
onion,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735047000,NCI:C28397,5,0,cause
potato,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227282006,NCI:C28397,2,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,NCI:C2983,4,0,cause
potato,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,NCI:C2983,4,0,cause
red wine,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C9335,3,0,cause
red wine,irritable bowel syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C82343,4,0,cause
red wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C89715,4,0,cause
related cereal,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C26714,8,0,cause
rice,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,NCI:C28397,6,0,cause
rosemary,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227410007,NCI:C28397,3,0,cause
rye,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,6,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C26714,8,0,cause
rye,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C26714,6,0,cause
rye flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C34987,8,0,cause
soy milk,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C113750,2,0,cause
sugar,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C159658,4,0,cause
thyme,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/227413009,NCI:C28397,3,0,cause
vegetable oil,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/22836000***http://purl.bioontology.org/ontology/SNOMEDCT/412552006,NCI:C3333,2,0,cause
wasabi,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/735040003,NCI:C3114,10,0,cause
wheat,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,6,0,cause
white bread,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002***http://purl.bioontology.org/ontology/SNOMEDCT/226590000,NCI:C2985,4,0,cause
white wine,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/67990004***http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C89715,4,0,cause
